date,ingredient_id,ingredient_name,historical_sales,day_of_week,month,is_weekend,is_holiday,lag_7,rolling_avg_7,temperature,promotion_flag,special_event,economic_index
2022-01-14,B001,Ghee,148,5,1,0,1,95,110,16,1,Makar Sankranti,80
2022-01-14,D002,Jaggery,92,5,1,0,1,70,80,16,1,Makar Sankranti,82
2022-03-18,C003,Saffron,210,5,3,0,1,130,150,26,1,Holi,85
2022-04-14,A004,Poha,185,4,4,0,1,120,140,30,1,Gudi Padwa,88
2022-08-09,D001,Coconut,320,2,8,0,1,220,250,27,1,Onam,90
2022-10-30,B002,Besan,275,7,10,1,1,190,210,24,1,Diwali,95
2022-11-06,A003,Sabudana,105,7,11,1,1,75,90,22,1,Chhath Puja,82
2022-12-25,C002,Vanilla,180,7,12,1,1,130,150,20,1,Christmas,88
2022-07-10,D003,Mango Pulp,95,7,7,1,0,70,80,29,0,None,78
2022-05-16,A002,Chana Dal,88,1,5,0,0,65,75,34,0,None,80
2022-01-15,D004,Til,76,6,1,1,1,50,60,17,1,Makar Sankranti,80
2022-03-19,B003,Kesar,124,6,3,1,0,90,105,27,0,None,85
2022-04-15,C001,Dates,155,5,4,0,0,110,125,31,0,None,88
2022-08-10,A001,Basmati Rice,198,3,8,0,0,170,190,28,0,None,90
2022-10-31,D005,Cardamom,142,1,10,0,0,120,135,25,0,None,95
2022-11-07,B004,Rice Flour,88,1,11,0,0,65,80,23,0,None,82
2022-12-26,A005,Cocoa,95,1,12,0,0,70,85,21,0,None,88
2022-07-11,C004,Rose Water,68,1,7,0,0,50,60,30,0,None,78
2022-05-17,D006,Mustard Oil,112,2,5,0,1,85,95,35,1,Baisakhi,80
2022-01-16,B005,Moong Dal,105,7,1,1,0,80,90,18,0,None,80
2022-03-20,A006,Maida,132,7,3,1,0,110,120,28,0,None,85
2022-04-16,D007,Neem Leaves,45,6,4,1,0,30,40,32,0,None,88
2022-08-11,B006,Coconut Oil,178,4,8,0,0,150,165,29,0,None,90
2022-11-01,C005,Gur,115,2,11,0,0,95,105,26,0,None,82
2022-12-27,D008,Cinnamon,88,2,12,0,0,70,80,22,0,None,88
2022-07-12,A007,Semolina,120,2,7,0,0,100,110,31,0,None,78
2022-05-18,B007,Wheat Flour,165,3,5,0,0,140,150,36,0,None,80
2022-01-17,C006,Peanuts,92,1,1,0,0,75,85,19,0,None,80
2022-03-21,D009,Dry Fruits,210,1,3,0,0,180,195,29,0,None,85
2022-04-17,A008,Tamarind,68,7,4,1,0,50,60,33,0,None,88
2022-08-12,B008,Curry Leaves,55,5,8,0,0,40,50,30,0,None,90
2022-11-02,C007,Honey,132,3,11,0,0,115,125,27,0,None,82
2022-12-28,D010,Nutmeg,72,3,12,0,0,60,70,23,0,None,88
2022-07-13,A009,Bajra,98,3,7,0,0,85,90,32,0,None,78
2022-05-19,B009,Barley,112,4,5,0,0,95,105,37,0,None,80
2022-01-18,C008,Sesame Seeds,105,2,1,0,0,90,95,20,0,None,80
2022-03-22,D011,Cashew,185,2,3,0,0,160,170,30,0,None,85
2022-04-18,A010,Ragi,78,1,4,0,0,65,75,34,0,None,88
2022-08-13,B010,Asafoetida,62,6,8,1,0,50,55,31,0,None,90
2022-11-03,C009,Pista,148,4,11,0,0,130,140,28,0,None,82
2022-12-29,D012,Cloves,95,4,12,0,0,80,90,24,0,None,88
2022-07-14,A011,Jowar,115,4,7,0,0,100,105,33,0,None,78
2022-05-20,B011,Corn Flour,132,5,5,0,0,120,125,38,0,None,80
2022-01-19,C010,Flöyseeds,88,3,1,0,0,75,80,21,0,None,80
2022-03-23,D013,Raisins,155,3,3,0,0,140,145,31,0,None,85
2022-04-19,A012,Sago,92,2,4,0,0,80,85,35,0,None,88
2022-08-14,B012,Fenugreek,68,7,8,1,0,55,60,32,0,None,90
2022-11-04,C011,Badam,178,5,11,0,0,165,170,29,0,None,82
2022-12-30,D014,Pepper,112,5,12,0,0,100,105,25,0,None,88
2022-07-15,A013,Millet,105,5,7,0,0,95,100,34,0,None,78
2022-05-21,B013,Gram Flour,145,6,5,1,0,135,140,39,0,None,80
2022-01-20,C012,Sunflower Seeds,95,4,1,0,0,85,90,22,0,None,80
2022-03-24,D015,Almonds,198,4,3,0,0,185,190,32,0,None,85
